6.62,14.26,0.46,0.51,2.48,0.20,6.11,12.81,0.48,0.48,4.14,6.30,0.66,2.12,5.78,7.90,2.05,0.84,1.48,2.10,3.09,17.89
4.33,11.37,0.38,0.73,3.28,0.22,3.59,9.09,0.39,0.41,2.21,3.97,0.56,0.48,2.15,2.63,3.83,0.91,0.20,2.14,1.87,11.58
4.76,12.57,0.38,0.85,3.68,0.23,3.89,9.89,0.39,0.41,2.42,3.98,0.61,0.70,2.15,2.85,4.12,1.09,0.25,2.17,2.18,12.75
4.30,10.99,0.39,0.70,3.14,0.22,3.61,8.83,0.41,0.42,1.95,3.60,0.54,0.46,2.01,2.47,4.02,0.84,0.23,1.85,1.97,11.25
3.18,8.33,0.38,0.56,2.60,0.21,2.64,6.75,0.39,0.41,1.38,2.95,0.47,0.87,2.74,3.61,1.36,0.67,0.27,1.29,1.91,8.33
3.91,9.56,0.41,0.94,3.37,0.28,3.00,7.19,0.42,0.46,1.56,3.22,0.48,1.01,2.78,3.79,1.70,0.85,0.35,1.34,2.07,10.38
4.17,10.70,0.39,0.93,3.72,0.25,3.23,7.98,0.41,0.43,1.90,3.65,0.52,0.91,2.53,3.44,2.28,0.90,0.35,1.58,2.12,11.14
3.84,9.66,0.40,0.41,2.32,0.18,3.45,8.35,0.41,0.42,2.20,4.13,0.53,1.26,3.11,4.37,1.49,0.99,0.50,1.43,2.27,10.33
3.66,9.24,0.40,0.44,2.35,0.19,3.23,7.88,0.41,0.42,1.85,3.77,0.49,1.07,2.69,3.75,1.42,0.95,0.48,1.36,2.00,9.63
5.87,13.86,0.42,0.73,3.21,0.23,5.12,11.66,0.44,0.45,3.43,5.37,0.64,1.25,4.16,5.41,2.73,1.21,0.46,2.08,2.81,15.86
7.06,15.41,0.46,0.19,1.58,0.12,6.87,14.88,0.46,0.46,4.17,6.63,0.63,2.69,6.34,9.03,2.35,1.10,1.98,2.58,3.08,18.47
7.34,15.24,0.48,0.17,1.58,0.11,7.15,14.71,0.49,0.49,4.61,7.15,0.65,2.40,6.17,8.57,2.41,1.03,1.85,2.46,2.71,19.44
6.63,14.07,0.47,0.11,1.39,0.08,6.51,13.68,0.48,0.47,4.27,6.71,0.64,2.64,6.28,8.93,2.39,0.96,1.85,2.42,2.86,17.61
7.70,17.85,0.43,1.26,4.61,0.27,6.46,14.24,0.45,0.47,4.36,6.42,0.68,1.03,3.52,4.54,4.15,1.22,0.41,2.76,2.32,21.07
7.84,17.38,0.45,1.39,4.75,0.29,6.44,13.62,0.47,0.49,4.15,6.18,0.67,0.97,3.97,4.94,4.44,1.26,0.45,2.83,2.43,21.22
7.23,16.78,0.43,1.11,4.04,0.27,6.13,13.72,0.45,0.46,4.55,6.51,0.70,0.87,4.16,5.03,4.52,1.31,0.51,2.66,2.29,20.13
